Body Name,Auditor,Body type
London Borough of Tower Hamlets,KPMG LLP,London Borough Council
London Borough of Waltham Forest,KPMG LLP,London Borough Council
Royal Borough of Kensington and Chelsea,KPMG LLP,London Borough Council
Barnsley Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
Bolton Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
Bury Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
City of Wakefield Metropolitan District Council,KPMG LLP,Metropolitan District Council
Doncaster Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
Kirklees Metropolitan Council,KPMG LLP,Metropolitan District Council
Leeds City Council,KPMG LLP,Metropolitan District Council
Rotherham Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
Sandwell Metropolitan Borough Council,KPMG LLP,Metropolitan District Council
Sheffield City Council,KPMG LLP,Metropolitan District Council
Blackpool Council,KPMG LLP,Unitary Authority
Borough of Telford and Wrekin,KPMG LLP,Unitary Authority
East Riding Of Yorkshire Council,KPMG LLP,Unitary Authority
Kingston upon Hull City Council,KPMG LLP,Unitary Authority
Leicester City Council,KPMG LLP,Unitary Authority
North East Lincolnshire Council,KPMG LLP,Unitary Authority
North Lincolnshire Council,KPMG LLP,Unitary Authority
Nottingham City Council,KPMG LLP,Unitary Authority
Reading Borough Council,KPMG LLP,Unitary Authority
Royal Borough of Windsor and Maidenhead,KPMG LLP,Unitary Authority
Rutland County Council,KPMG LLP,Unitary Authority
West Berkshire Council,KPMG LLP,Unitary Authority
Wiltshire Council,KPMG LLP,Unitary Authority
Craven District Council,Mazars LLP,District Council
Harrogate Borough Council,Mazars LLP,District Council
Scarborough Borough Council,Mazars LLP,District Council
Selby District Council,Mazars LLP,District Council
City of Bradford Metropolitan District Council,Mazars LLP,Metropolitan District Council
Gateshead Metropolitan Borough Council,Mazars LLP,Metropolitan District Council
North Tyneside Council,Mazars LLP,Metropolitan District Council
Sunderland City Council,Mazars LLP,Metropolitan District Council
City of York Council,Mazars LLP,Unitary Authority
Durham County Council,Mazars LLP,Unitary Authority
Hartlepool Borough Council,Mazars LLP,Unitary Authority
Redcar and Cleveland Borough Council,Mazars LLP,Unitary Authority
Stockton-on-Tees Borough Council,Mazars LLP,Unitary Authority
Cambridgeshire County Council,PricewaterhouseCoopers LLP,County Council
Leicestershire County Council,PricewaterhouseCoopers LLP,County Council
Staffordshire County Council,PricewaterhouseCoopers LLP,County Council
Basingstoke and Deane Borough Council,PricewaterhouseCoopers LLP,District Council
Blaby District Council,PricewaterhouseCoopers LLP,District Council
Fenland District Council,PricewaterhouseCoopers LLP,District Council
Hinckley and Bosworth Borough Council,PricewaterhouseCoopers LLP,District Council
Huntingdonshire District Council,PricewaterhouseCoopers LLP,District Council
Ipswich Borough Council,PricewaterhouseCoopers LLP,District Council
Melton Borough Council,PricewaterhouseCoopers LLP,District Council
North Norfolk District Council,PricewaterhouseCoopers LLP,District Council
North Warwickshire Borough Council,PricewaterhouseCoopers LLP,District Council
Stratford-on-Avon District Council,PricewaterhouseCoopers LLP,District Council
London Borough of Bromley,PricewaterhouseCoopers LLP,London Borough Council
London Borough of Havering Council,PricewaterhouseCoopers LLP,London Borough Council
London Borough of Redbridge,PricewaterhouseCoopers LLP,London Borough Council
Newham London Borough Council,PricewaterhouseCoopers LLP,London Borough Council
Wandsworth Borough Council,PricewaterhouseCoopers LLP,London Borough Council
Knowsley Metropolitan Borough Council,PricewaterhouseCoopers LLP,Metropolitan District Council
Sefton Council,PricewaterhouseCoopers LLP,Metropolitan District Council
South Tyneside Council,PricewaterhouseCoopers LLP,Metropolitan District Council
Wolverhampton City Council,PricewaterhouseCoopers LLP,Metropolitan District Council
Darlington Borough Council,PricewaterhouseCoopers LLP,Unitary Authority
Peterborough City Council,PricewaterhouseCoopers LLP,Unitary Authority
